iter	Passed	Remaining
0	138	138505
1	140	70225
2	142	47492
3	144	36089
4	146	29230
5	149	24716
6	151	21447
7	153	19007
8	155	17110
9	157	15580
10	159	14343
11	161	13314
12	164	12454
13	166	11702
14	167	11030
15	169	10431
16	171	9945
17	173	9482
18	175	9080
19	178	8723
20	180	8395
21	182	8098
22	184	7830
23	186	7575
24	188	7343
25	191	7164
26	194	7003
27	197	6867
28	200	6720
29	203	6594
30	206	6454
31	209	6326
32	211	6206
33	214	6101
34	217	6007
35	220	5915
36	223	5814
37	225	5715
38	228	5626
39	230	5538
40	233	5455
41	235	5374
42	237	5296
43	240	5221
44	242	5153
45	245	5093
46	247	5027
47	250	4962
48	252	4900
49	254	4841
50	257	4787
51	259	4734
52	261	4680
53	264	4627
54	266	4580
55	268	4531
56	271	4494
57	274	4451
58	276	4411
59	278	4366
60	280	4324
61	283	4289
62	286	4256
63	288	4219
64	290	4184
65	293	4152
66	295	4118
67	297	4071
68	299	4046
69	302	4018
70	305	3991
71	307	3966
72	309	3935
73	312	3914
74	315	3886
75	317	3861
76	320	3845
77	323	3819
78	326	3806
79	329	3786
80	331	3764
81	333	3736
82	335	3706
83	337	3678
84	338	3647
85	340	3623
86	342	3592
87	344	3569
88	346	3545
89	348	3524
90	350	3500
91	352	3480
92	354	3456
93	356	3436
94	358	3415
95	360	3394
96	362	3373
97	364	3353
98	366	3338
99	369	3324
100	371	3307
101	372	3281
102	374	3263
103	376	3243
104	378	3225
105	380	3211
106	382	3193
107	385	3180
108	387	3163
109	389	3147
110	390	3131
111	392	3115
112	394	3099
113	396	3084
114	398	3069
115	400	3053
116	402	3038
117	404	3023
118	406	3007
119	408	2994
120	410	2981
121	412	2967
122	413	2947
123	415	2932
124	416	2918
125	418	2904
126	420	2891
127	422	2876
128	424	2865
129	426	2853
130	428	2841
131	429	2827
132	431	2813
133	433	2799
134	435	2789
135	437	2776
136	438	2764
137	440	2750
138	442	2740
139	444	2728
140	446	2718
141	448	2707
142	451	2705
143	453	2694
144	455	2684
145	457	2673
146	459	2663
147	460	2653
148	463	2647
149	465	2637
150	467	2628
151	469	2619
152	471	2610
153	473	2601
154	475	2591
155	477	2582
156	479	2574
157	481	2566
158	483	2558
159	485	2550
160	488	2543
161	491	2542
162	494	2538
163	496	2533
164	499	2527
165	502	2525
166	505	2520
167	507	2514
168	510	2510
169	513	2506
170	517	2508
171	520	2507
172	523	2501
173	526	2499
174	529	2494
175	532	2491
176	534	2486
177	537	2483
178	540	2479
179	543	2475
180	544	2465
181	547	2459
182	551	2460
183	554	2457
184	557	2454
185	559	2449
186	562	2445
187	566	2446
188	571	2452
189	574	2448
190	578	2448
191	581	2447
192	583	2441
193	586	2437
194	589	2432
195	592	2432
196	595	2426
197	598	2423
198	601	2419
199	604	2419
200	608	2418
201	611	2414
202	613	2410
203	616	2406
204	618	2399
205	623	2402
206	625	2397
207	627	2391
208	630	2385
209	632	2379
210	635	2375
211	637	2370
212	640	2365
213	642	2360
214	644	2354
215	646	2348
216	649	2342
217	651	2336
218	653	2331
219	655	2325
220	658	2319
221	660	2313
222	662	2307
223	664	2300
224	666	2294
225	668	2288
226	670	2282
227	672	2275
228	673	2269
229	676	2264
230	678	2258
231	680	2253
232	683	2248
233	684	2242
234	687	2237
235	690	2235
236	692	2229
237	695	2226
238	698	2223
239	700	2217
240	703	2216
241	706	2212
242	709	2209
243	711	2204
244	715	2205
245	719	2204
246	722	2202
247	725	2201
248	728	2197
249	731	2195
250	734	2190
251	736	2186
252	739	2182
253	741	2178
254	745	2177
255	747	2172
256	750	2169
257	753	2166
258	755	2162
259	757	2157
260	760	2152
261	762	2147
262	764	2142
263	766	2136
264	768	2131
265	771	2128
266	774	2125
267	776	2122
268	779	2117
269	782	2114
270	785	2113
271	788	2110
272	791	2107
273	794	2104
274	796	2100
275	800	2099
276	803	2097
277	806	2094
278	808	2090
279	811	2086
280	813	2081
281	816	2077
282	818	2074
283	821	2070
284	823	2067
285	826	2063
286	829	2060
287	832	2057
288	834	2053
289	836	2049
290	841	2049
291	844	2046
292	846	2042
293	849	2039
294	851	2035
295	855	2034
296	857	2030
297	861	2028
298	863	2024
299	866	2021
300	869	2018
301	871	2014
302	874	2011
303	876	2007
304	879	2003
305	881	1999
306	884	1996
